Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.18936422742587952 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:58:19.630217 False [  145413.534817] 0003 0036 00000217
2022-04-02 13:58:19.636018 False [  145413.543008] 0003 0036 00000219
2022-04-02 13:58:19.644597 False [  145413.551401] 0003 0035 00000190
2022-04-02 13:58:19.651723 False [  145413.559581] 0003 0035 00000191
2022-04-02 13:58:19.651723 False [  145413.559581] 0003 0036 0000021a
2022-04-02 13:58:19.662121 False [  145413.568076] 0003 0035 00000192
2022-04-02 13:58:19.662121 False [  145413.568076] 0003 0036 0000021b
2022-04-02 13:58:19.672021 False [  145413.576294] 0003 0035 00000193
2022-04-02 13:58:19.672021 False [  145413.576294] 0003 0036 0000021d
2022-04-02 13:58:19.682378 False [  145413.585191] 0003 0036 0000021e
2022-04-02 13:58:19.689373 False [  145413.592947] 0003 0035 00000194
2022-04-02 13:58:19.697284 False [  145413.601483] 0003 0035 00000195
2022-04-02 13:58:19.697284 False [  145413.601483] 0003 0036 0000021f
2022-04-02 13:58:19.703523 False [  145413.609476] 0003 0035 00000196
2022-04-02 13:58:19.703523 False [  145413.609476] 0003 0036 00000220
2022-04-02 13:58:19.711589 False [  145413.617969] 0003 0035 00000197
2022-04-02 13:58:19.711589 False [  145413.617969] 0003 0036 00000221
2022-04-02 13:58:19.720947 False [  145413.626080] 0003 0035 00000198
2022-04-02 13:58:19.720947 False [  145413.626080] 0003 0036 00000223
2022-04-02 13:58:19.730616 False [  145413.634456] 0003 0035 00000199
2022-04-02 13:58:19.730616 False [  145413.634456] 0003 0036 00000224
2022-04-02 13:58:19.737370 False [  145413.643806] 0003 0035 0000019a
2022-04-02 13:58:19.744173 False [  145413.651105] 0003 0035 0000019b
2022-04-02 13:58:19.744173 False [  145413.651105] 0003 0036 00000225
2022-04-02 13:58:19.754190 False [  145413.659337] 0003 0035 0000019c
2022-04-02 13:58:19.754190 False [  145413.659337] 0003 0036 00000226
