Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:54:59.613017 True [  156022.806943] 0003 0035 000004c3
2022-04-02 16:54:59.613017 True [  156022.806943] 0003 0036 0000040a
2022-04-02 16:54:59.621124 True [  156022.815334] 0003 0035 000004bf
2022-04-02 16:54:59.621124 True [  156022.815334] 0003 0036 00000407
2022-04-02 16:54:59.628454 True [  156022.823587] 0003 0035 000004bc
2022-04-02 16:54:59.628454 True [  156022.823587] 0003 0036 00000403
2022-04-02 16:54:59.637142 True [  156022.831879] 0003 0035 000004b9
2022-04-02 16:54:59.637142 True [  156022.831879] 0003 0036 00000400
2022-04-02 16:54:59.646318 True [  156022.840175] 0003 0035 000004b7
2022-04-02 16:54:59.646318 True [  156022.840175] 0003 0036 000003fd
2022-04-02 16:54:59.653443 True [  156022.848582] 0003 0035 000004b4
2022-04-02 16:54:59.653443 True [  156022.848582] 0003 0036 000003fb
2022-04-02 16:54:59.662341 True [  156022.856790] 0003 0035 000004b2
2022-04-02 16:54:59.662341 True [  156022.856790] 0003 0036 000003f9
2022-04-02 16:54:59.669828 True [  156022.865132] 0003 0035 000004b0
2022-04-02 16:54:59.669828 True [  156022.865132] 0003 0036 000003f7
2022-04-02 16:54:59.679060 True [  156022.873398] 0003 0035 000004af
2022-04-02 16:54:59.679060 True [  156022.873398] 0003 0036 000003f6
2022-04-02 16:54:59.687800 True [  156022.881791] 0003 0035 000004ae
2022-04-02 16:54:59.687800 True [  156022.881791] 0003 0036 000003f5
2022-04-02 16:54:59.696217 True [  156022.889972] 0003 0035 000004ad
2022-04-02 16:54:59.696217 True [  156022.889972] 0003 0036 000003f4
2022-04-02 16:54:59.703683 True [  156022.898332] 0003 0035 000004ac
2022-04-02 16:54:59.712845 True [  156022.906562] 0003 0036 000003f3
2022-04-02 16:54:59.790152 True [  156022.981481] 0003 0035 000004ad
2022-04-02 16:54:59.795296 True [  156022.989729] 0003 0035 000004ae
2022-04-02 16:54:59.804061 True [  156022.998120] 0003 0035 000004b0
2022-04-02 16:54:59.804061 True [  156022.998120] 0003 0036 000003f4
2022-04-02 16:54:59.810896 True [  156023.006319] 0003 0035 000004b1
2022-04-02 16:54:59.821210 True [  156023.014756] 0003 0035 000004b3
2022-04-02 16:54:59.821210 True [  156023.014756] 0003 0036 000003f6
2022-04-02 16:54:59.829455 True [  156023.022931] 0003 0035 000004b5
2022-04-02 16:54:59.829455 True [  156023.022931] 0003 0036 000003f7
